age,reports,lost,year
Under 20,23186,70980763,2020
20-29,70791,197402240,2020
30-39,88364,492176845,2020
40-49,91568,717161726,2020
50-59,85967,847948101,2020
Above 60,105301,966062236,2020
Under 20,10724,421169232,2019
20-29,44496,174673470,2019
30-39,52820,332208189,2019
40-49,51864,529231267,2019
50-59,50608,589624844,2019
Above 60,68013,835164766,2019
Under 20,9129,12553082,2018
20-29,40924,134485965,2018
30-39,46342,305699977,2018
40-49,50545,405612455,2018
50-59,48642,494926300,2018
Above 60,62085,649227724,2018
Under 20,9053,8271311,2017
20-29,41132,67981630,2017
30-39,45458,156287698,2017
40-49,44878,244561364,2017
50-59,43764,275621946,2017
Above 60,49523,342531972,2017
Under 20,10004,6698742,2016
20-29,46266,68015095,2016
30-39,54670,190095752,2016
40-49,51394,224322960,2016
50-59,49208,298145628,2016
Above 60,55043,339474918,2016
